,URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit,ReleaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
17,spotify:track:00eo1FWekbX0jk3FB72iYL,Your Friends Like Me Better,spotify:artist:1mUvCFjlnNilmIebNqKYo8,WRENN,35,"['alt z', 'la indie']",Your Friends Like Me Better,0,True,2021-05-07,0.678,0.726,2,-4.561,1,0.0479,0.0503,0.0,0.107,0.623,98.067,audio_features,00eo1FWekbX0jk3FB72iYL,spotify:track:00eo1FWekbX0jk3FB72iYL,https://api.spotify.com/v1/tracks/00eo1FWekbX0jk3FB72iYL,https://api.spotify.com/v1/audio-analysis/00eo1FWekbX0jk3FB72iYL,153120,4
18,spotify:track:0qBV27lkQHQ3A4wGiSx7xB,Tell Me Why,spotify:artist:38SHprY6NUd8O9LyWJ4hg4,RILEY,40,['modern alternative pop'],Tell Me Why,0,True,2021-04-02,0.775,0.479,7,-8.188,1,0.033,0.0448,0.0,0.072,0.389,100.978,audio_features,0qBV27lkQHQ3A4wGiSx7xB,spotify:track:0qBV27lkQHQ3A4wGiSx7xB,https://api.spotify.com/v1/tracks/0qBV27lkQHQ3A4wGiSx7xB,https://api.spotify.com/v1/audio-analysis/0qBV27lkQHQ3A4wGiSx7xB,197228,4
19,spotify:track:5NCzzLNDRkeG22Vh406VaL,internet drama part 1 (is this available?),spotify:artist:6lt3CXKfhLXjYl2VFD6vN4,Lubalin,37,[],internet drama,0,False,2020-12-22,0.62,0.301,9,-8.828,0,0.0343,0.918,0.0,0.107,0.382,109.85,audio_features,5NCzzLNDRkeG22Vh406VaL,spotify:track:5NCzzLNDRkeG22Vh406VaL,https://api.spotify.com/v1/tracks/5NCzzLNDRkeG22Vh406VaL,https://api.spotify.com/v1/audio-analysis/5NCzzLNDRkeG22Vh406VaL,48545,4
20,spotify:track:0rGZ2Rz8TPzXfCk6T1gorE,internet drama part 2 (she stole my broccoli),spotify:artist:6lt3CXKfhLXjYl2VFD6vN4,Lubalin,37,[],internet drama,0,True,2020-12-22,0.511,0.398,5,-8.292,0,0.037,0.766,0.0,0.266,0.375,85.084,audio_features,0rGZ2Rz8TPzXfCk6T1gorE,spotify:track:0rGZ2Rz8TPzXfCk6T1gorE,https://api.spotify.com/v1/tracks/0rGZ2Rz8TPzXfCk6T1gorE,https://api.spotify.com/v1/audio-analysis/0rGZ2Rz8TPzXfCk6T1gorE,48000,4
21,spotify:track:62hq7TOGOWftPG2j8XFWlq,Teenager,spotify:artist:2qmz9qPEFq5phZ8bscA2oL,George Alice,34,['australian pop'],Teenager,29,True,2020-11-23,0.655,0.486,8,-7.096,1,0.0287,0.73,0.000559,0.356,0.871,94.054,audio_features,62hq7TOGOWftPG2j8XFWlq,spotify:track:62hq7TOGOWftPG2j8XFWlq,https://api.spotify.com/v1/tracks/62hq7TOGOWftPG2j8XFWlq,https://api.spotify.com/v1/audio-analysis/62hq7TOGOWftPG2j8XFWlq,186520,4
22,spotify:track:3vMtiUewPWlK5UsIlE8lIy,Addicted,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,72,"['r&b', 'uk contemporary r&b']",Addicted,53,False,2021-03-10,0.453,0.507,2,-10.098,1,0.0519,0.241,0.0107,0.16,0.153,134.023,audio_features,3vMtiUewPWlK5UsIlE8lIy,spotify:track:3vMtiUewPWlK5UsIlE8lIy,https://api.spotify.com/v1/tracks/3vMtiUewPWlK5UsIlE8lIy,https://api.spotify.com/v1/audio-analysis/3vMtiUewPWlK5UsIlE8lIy,204175,4
23,spotify:track:6uSLLJJ5r936DO1SASSViy,Hide and Seek - Le Youth Remix,spotify:artist:3nYYI90ObxhjLjdxaoXGSa,Catie Turner,48,"['alt z', 'gen z singer-songwriter']",Hide and Seek (Le Youth Remix),48,False,2021-05-07,0.591,0.763,3,-9.63,1,0.0314,0.00279,0.0214,0.136,0.172,123.98,audio_features,6uSLLJJ5r936DO1SASSViy,spotify:track:6uSLLJJ5r936DO1SASSViy,https://api.spotify.com/v1/tracks/6uSLLJJ5r936DO1SASSViy,https://api.spotify.com/v1/audio-analysis/6uSLLJJ5r936DO1SASSViy,231288,4
24,spotify:track:7GJ572zvnU94VZVrj5XRtb,Spirits,spotify:artist:6ujr1NkqbZpYOhquczUUfl,The Strumbellas,54,"['canadian indie', 'folk-pop', 'stomp and holler']",Hope,2,False,2016-04-22,0.556,0.658,0,-6.075,1,0.0265,0.164,0.0,0.113,0.787,80.529,audio_features,7GJ572zvnU94VZVrj5XRtb,spotify:track:7GJ572zvnU94VZVrj5XRtb,https://api.spotify.com/v1/tracks/7GJ572zvnU94VZVrj5XRtb,https://api.spotify.com/v1/audio-analysis/7GJ572zvnU94VZVrj5XRtb,203653,4
25,spotify:track:0IPF8XAlFsjDpxTj14xAsz,Poor Marionette,spotify:artist:3kft86DbqCNr7rjq3pEj0G,Sarah Cothran,57,['gen z singer-songwriter'],Poor Marionette,42,False,2021-01-22,0.603,0.554,8,-6.804,0,0.0317,0.147,0.0,0.182,0.336,124.989,audio_features,0IPF8XAlFsjDpxTj14xAsz,spotify:track:0IPF8XAlFsjDpxTj14xAsz,https://api.spotify.com/v1/tracks/0IPF8XAlFsjDpxTj14xAsz,https://api.spotify.com/v1/audio-analysis/0IPF8XAlFsjDpxTj14xAsz,143000,4
26,spotify:track:2bx879t8gUpxkQ0avl8xTf,Bubble Pop Electric,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,71,"['dance pop', 'pop']",Love Angel Music Baby (Deluxe Version),62,False,2004-11-23,0.566,0.976,1,-3.866,1,0.262,0.000527,0.00265,0.114,0.354,193.979,audio_features,2bx879t8gUpxkQ0avl8xTf,spotify:track:2bx879t8gUpxkQ0avl8xTf,https://api.spotify.com/v1/tracks/2bx879t8gUpxkQ0avl8xTf,https://api.spotify.com/v1/audio-analysis/2bx879t8gUpxkQ0avl8xTf,222360,4
