,URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit
49,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,spotify:artist:57vWImR43h4CaDao012Ofp,Steve Lacy,80,['afrofuturism'],Bad Habit,81,True
50,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,spotify:artist:78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,77,['bedroom pop'],Boy's a liar Pt. 2,89,True
51,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Chris Brown,85,"['pop rap', 'r&b', 'rap']",Indigo (Extended),87,True
52,spotify:track:3NRql0A1Ef4RCvT473iqgD,Hell N Back,spotify:artist:3K2Srho6NCF3o9MswGR76H,Bakar,69,['uk alternative hip hop'],Hell N Back,81,True
53,spotify:track:0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,85,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']",Watch This (ARIZONATEARS Pluggnb Remix),84,True
54,spotify:track:2cSdAkzAf2T4j4aLvx4LLz,Baby Girl,spotify:artist:5Kmr0b3ip8g9P2i0dLTC3Z,Disco Lines,61,['stutter house'],Baby Girl,76,False
55,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,spotify:artist:2W6WP4pHQTFlbr2z9S4n54,Kordhell,75,['drift phonk'],Murder In My Mind,86,True
56,spotify:track:561jH07mF1jHuk7KlaeF0s,Mockingbird,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,89,"['detroit hip hop', 'hip hop', 'rap']",Encore (Deluxe Version),88,True
57,spotify:track:73vIOb4Q7YN6HeJTbscRx5,Miss You,spotify:artist:6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,73,['alternative hip hop'],Miss You,82,True
58,spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,Sunroof,spotify:artist:7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,68,['singer-songwriter pop'],Good Times Go,85,False
59,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,89,"['pop', 'r&b', 'rap']",SOS,91,True
60,spotify:track:48CKzGWOC65n8a8kdANJV8,Only Love Can Hurt Like This - Slowed Down Version,spotify:artist:4fwuXg6XQHfdlOdmw36OHa,Paloma Faith,66,"['british soul', 'talent show']",Only Love Can Hurt Like This (Slowed Down Version),69,False
61,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,82,"['modern alternative rock', 'modern rock', 'pop']",I Love You.,90,False
62,spotify:track:0VgkVdmE4gld66l8iyGjgx,Mask Off,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,Future,89,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",FUTURE,82,True
63,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,86,"['hip pop', 'pop', 'queens hip hop', 'rap']",Super Freaky Girl,77,True
64,spotify:track:2IlT65thKQQw248mhk2PjQ,JACKIE BROWN,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,82,"['r&b', 'rap']",WASTELAND,81,True
65,spotify:track:1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,spotify:artist:5y8tKLUfMvliMe8IKamR32,d4vd,77,"['bedroom pop', 'bedroom r&b']",Romantic Homicide,89,False
66,spotify:track:4pV6Kx1T9L49PBFwH1g8ca,Aces,spotify:artist:5FU1KYJheed7LZIM2r6KrE,dkj,53,[],Aces,71,False
67,spotify:track:3RKjTYlQrtLXCq5ncswBPp,"Hey, Mickey!",spotify:artist:3IJ21966TwNZI24MwZHMu4,Baby Tate,66,['trap queen'],"Hey, Mickey!",76,False
68,spotify:track:3LtpKP5abr2qqjunvjlX5i,Doja,spotify:artist:5H4yInM5zmHqpKIoMNAx4r,Central Cee,82,['melodic drill'],Doja,85,True
69,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,spotify:artist:2qAwMsiIjTzlmfAkXKvhVA,Armani White,63,['indie hip hop'],BILLIE EILISH.,75,True
70,spotify:track:26b3oVLrRUaaybJulow9kz,People,spotify:artist:7kjSuFGKhLm8b5qXoMhRkJ,Libianca,71,['afrobeats'],People,88,False
71,spotify:track:1Fid2jjqsHViMX6xNH70hE,Atlantis,spotify:artist:4Ly0KABsxlx4fNj63zJTrF,Seafret,68,['folk-pop'],Tell Me It's Real (Expanded Edition),85,False
72,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,87,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),91,True
73,spotify:track:76OGwb5RA9h4FxQPT33ekc,SNAP,spotify:artist:46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,69,['alt z'],SNAP,87,False
74,spotify:track:1yvMUkIOTeUNtNWlWRgANS,Unstoppable,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,82,"['australian dance', 'australian pop', 'pop']",This Is Acting (Deluxe Version),82,False
75,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,Joji,79,['viral pop'],Glimpse of Us,83,False
