URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit,ReleaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
spotify:track:1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,76,['lgbtq+ hip hop'],MONTERO,79,True,2021-09-17,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,audio_features,1SC5rEoYDGUK4NfG82494W,spotify:track:1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,137704,4
spotify:track:48q0vSHcJdhK3IiXH8C5WJ,Why'd You Only Call Me When You're High?,spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,85,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM,0,False,2013-01-01,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,48q0vSHcJdhK3IiXH8C5WJ,spotify:track:48q0vSHcJdhK3IiXH8C5WJ,https://api.spotify.com/v1/tracks/48q0vSHcJdhK3IiXH8C5WJ,https://api.spotify.com/v1/audio-analysis/48q0vSHcJdhK3IiXH8C5WJ,161124,4
spotify:track:2IlT65thKQQw248mhk2PjQ,JACKIE BROWN,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,82,"['r&b', 'rap']",WASTELAND,82,True,2022-07-08,0.726,0.353,10,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,audio_features,2IlT65thKQQw248mhk2PjQ,spotify:track:2IlT65thKQQw248mhk2PjQ,https://api.spotify.com/v1/tracks/2IlT65thKQQw248mhk2PjQ,https://api.spotify.com/v1/audio-analysis/2IlT65thKQQw248mhk2PjQ,169014,4
spotify:track:4pV6Kx1T9L49PBFwH1g8ca,Aces,spotify:artist:5FU1KYJheed7LZIM2r6KrE,dkj,53,[],Aces,71,False,2022-11-25,0.602,0.537,10,-11.389,0,0.0332,0.00118,0.947,0.289,0.428,139.94,audio_features,4pV6Kx1T9L49PBFwH1g8ca,spotify:track:4pV6Kx1T9L49PBFwH1g8ca,https://api.spotify.com/v1/tracks/4pV6Kx1T9L49PBFwH1g8ca,https://api.spotify.com/v1/audio-analysis/4pV6Kx1T9L49PBFwH1g8ca,122250,4
spotify:track:4kXxEhuatrvwrTQycA7s9B,BIZCOCHITO,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,81,"['latin viral pop', 'pop', 'r&b en espanol']",MOTOMAMI,72,True,2022-03-18,0.93,0.774,1,-4.203,1,0.0744,0.605,0.0238,0.12,0.781,116.972,audio_features,4kXxEhuatrvwrTQycA7s9B,spotify:track:4kXxEhuatrvwrTQycA7s9B,https://api.spotify.com/v1/tracks/4kXxEhuatrvwrTQycA7s9B,https://api.spotify.com/v1/audio-analysis/4kXxEhuatrvwrTQycA7s9B,109120,4
spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,spotify:artist:79AyR6ATpj2LTPxfb6FX50,Lauren Spencer Smith,70,"['alt z', 'gen z singer-songwriter']",Fingers Crossed,70,False,2022-01-05,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,audio_features,3yMC1KsTwh0ceXdIe4QQAQ,spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/tracks/3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/audio-analysis/3yMC1KsTwh0ceXdIe4QQAQ,175345,4
spotify:track:0sTlGEld0h8kIPZaKDYUf4,Notion,spotify:artist:1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,64,['la indie'],Notion,82,False,2021-12-02,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,audio_features,0sTlGEld0h8kIPZaKDYUf4,spotify:track:0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/tracks/0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/audio-analysis/0sTlGEld0h8kIPZaKDYUf4,195121,4
spotify:track:0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,89,"['dance pop', 'pop']",Planet Her,77,True,2021-06-25,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,audio_features,0W6I02J9xcqK8MtSeosEXb,spotify:track:0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/audio-analysis/0W6I02J9xcqK8MtSeosEXb,138293,4
spotify:track:15iXvMt4bYvp1xfIscveRW,It's Corn,spotify:artist:2knWnzQWhtUg9J3zVsEYm8,Tariq,38,['meme'],It's Corn,58,False,2022-08-28,0.724,0.904,4,-4.188,0,0.0254,0.00398,3.38e-06,0.136,0.714,101.986,audio_features,15iXvMt4bYvp1xfIscveRW,spotify:track:15iXvMt4bYvp1xfIscveRW,https://api.spotify.com/v1/tracks/15iXvMt4bYvp1xfIscveRW,https://api.spotify.com/v1/audio-analysis/15iXvMt4bYvp1xfIscveRW,167733,4
spotify:track:59CfNbkERJ3NoTXDvoURjj,Boyfriend,spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE,Dove Cameron,71,['pop'],Boyfriend,81,True,2022-02-11,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,audio_features,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,153000,3
